id,body
1215778651553312769,@RBC a person reports he bank card missing and the don’t freeze the account is stupid and idiotic and irresponsible… https://t.co/nKOUyiYHN9
1215778246748528641,RT @YoungerGolf: With assists from Canadian course architects @IanAndrewGolf &amp; @jeff_mingay and from @RBC EVP&amp; CMO @marydepaoli on the pass…
1215777851850612739,Check out @Bryan_Baeumler presented by @RBC on the @hgtvcanada Lifestyle Stage presented by @KAT_RenoWPG and… https://t.co/4JTKEhbefW
1215777554474229760,"RT @PrairieRoseSD8: This afternoon students from Eagle Butte, Senator Gershaw and Foremost schools, along with students from Hat High, pitc…"
1215777477194387458,"RT @JoelleSinnige: Thanks so much to @RBC for the turkey dinner, after touring @sunnypointfarm. We really appreciate your Nova Scotian hosp…"
1215774209110134785,@smcgillivray @SarahBaeumler @BryanBaeumler @RBC I’ll never be THAT good at photography 🤷‍♂️
1215773173876027392,"This afternoon students from Eagle Butte, Senator Gershaw and Foremost schools, along with students from Hat High,… https://t.co/ZMmnzVr0jb"
1215772638934597635,@WilliamsRacing @RBC @mdeaves what have you been doing with our marketing budget?? 😂 #RBC #visitrugby #rugbytown
1215772233689378817,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1215770552083853313,@stevemcniven @TD_Canada @RBC I second that!
1215768933266911233,@JoDragon9 @WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation… https://t.co/3vInYTA9Dc
1215768188828442630,"RT @JoelleSinnige: Thanks so much to @RBC for the turkey dinner, after touring @sunnypointfarm. We really appreciate your Nova Scotian hosp…"
1215768088668450817,@RyanPalmerPGA @SonyOpenHawaii @UnitedRentals @unisyscorp @RBC @JaniKingClean @ThriveHiveSE @Columbia1938 @OCSGolf_… https://t.co/Vb2CFukibi
1215767976915480576,RT @RBC: We hope to see all our Winnipeg RBC clients @WPGHomeShows on January 10 &amp; 11 for a great panel discussion and a presentation from…
1215767613500010497,RT @filmfest_ca: Victory for @VictorJStiff - the pillar of what we are building at @ThatShelf. Thanks to my @TFCA colleagues for seeing the…
1215767218044260352,@smcgillivray @SarahBaeumler @BryanBaeumler @RBC @Bryan_Baeumler https://t.co/1s0rIjGFgF
1215767209789853697,RT @filmfest_ca: Victory for @VictorJStiff - the pillar of what we are building at @ThatShelf. Thanks to my @TFCA colleagues for seeing the…
1215766153722765314,Victory for @VictorJStiff - the pillar of what we are building at @ThatShelf. Thanks to my @TFCA colleagues for see… https://t.co/kPmGTHQmtR
1215765041737281536,"RT @canadian_sme: The biggest gathering of Canadian Small and Medium Enterprises taking place on January 20, 2020 @mtcc at @canadian_sme Bu…"
1215764742322524160,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/1QmwFsHFcZ
1215764028712087552,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/AGT5lanOn5
1215762831464980487,"RT @Frayme_Cadre: Our Program At-A-Glance is now out for the #Frayme2020 Learning Institute! Amazing content coming from @jackdotorg, @Foun…"
1215762735067066368,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/ZEsdVA9AqW
1215762258015354880,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/XA7qzRa3b6
1215760617132281856,"RT @canadian_sme: The biggest gathering of Canadian Small and Medium Enterprises taking place on January 20, 2020 @mtcc at @canadian_sme Bu…"
1215760396583235586,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/snHW8Colr1
1215759923243573249,"Thanks so much to @RBC for the turkey dinner, after touring @sunnypointfarm. We really appreciate your Nova Scotian… https://t.co/tf9iQ3xlIA"
1215759773208956929,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/bB2YcZYHix
1215759187818319872,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/BaKt8oY10M
1215758889146187776,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/gCrWnZZZVc
1215758859588915200,"The biggest gathering of Canadian Small and Medium Enterprises taking place on January 20, 2020 @mtcc at… https://t.co/eFPITtUBG3"
1215758392603496449,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/qQaBa6MOJC
1215758141977251840,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co @PwC @PwC_…
1215757726988419072,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/d1SI8lWRjd
1215757135503446017,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/1CjyX02eNR
1215756956352184320,"RT @WilliamsRacing: Welcoming @RBC to our family of team partners 🙂 

Read more 👇"
1215756576549564416,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/82VJtFYXwL
1215756002504495104,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/cr0wQ9ysKG
1215755998364938241,@blakeir @RBC make this happen! #OVOxRBC
1215755659997696000,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/WQ3Quu6FVF
1215755279133888512,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/wFOpF74O2V
1215754973167767553,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/2OX8vh8tQg
1215754746037858304,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky… https://t.co/T59I6WPOF1
1215754258663915521,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 @YotesFoundation @WayneGretzky Me… https://t.co/DKUwioUFxU
1215754048835596288,@Paul8rown @WilliamsRacing @RBC They have another rich Canadian
1215753856472104960,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO @RBC @MitchMarner93 Nogardoj tells @YotesFoundation an… https://t.co/T7obfJAQvn
1215753575944589312,"RT @canadian_sme: The biggest gathering of Canadian Small and Medium Enterprises taking place on January 20, 2020 @mtcc at @canadian_sme Bu…"
1215753213384646656,@WhiteShaq3 @MapleLeafs @SanJoseSharks @FloridaPanthers @BMO thinks for a second. Then stop for a second. Than thin… https://t.co/bk0Qdbl9qf
1215748204777689090,"RT @canadian_sme: Be a part of the crowd of more than 3,000 business leaders, top executives and top Canadian SMEs  at @canadian_sme Busine…"
1215746097722691584,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1215745384959631360,With assists from Canadian course architects @IanAndrewGolf &amp; @jeff_mingay and from @RBC EVP&amp; CMO @marydepaoli on t… https://t.co/nkZzcXxx8F
1215744647416426497,"RT @SarahBaeumler: Hey @bryanbaeumler, you should become my personal photographer full time 😜 We had a blast shooting with @RBC last month!…"
1215744177708969986,RT @ringerzinger1: $bioaq @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co
1215743835483058176,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1215743739257409536,RT @redcrosscanada: @WalmartCanada @AGI_Canada @HondaCanada @The_Cooperators @Manulife @economicalCA @AirCanada @RBC @CoopFCL @McDonaldsCan…
1215742823384977408,"RT @WilliamsRacing: Welcoming @RBC to our family of team partners 🙂 

Read more 👇"
1215742396027162624,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co @PwC @PwC_…
1215739550762504192,#FlashbackFriday To the time I had a drink 🥃 with the Vice-President of Processing Systems @RBC Jim Grant in the lo… https://t.co/begrxGef8t
1215739078156734464,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1215738377221345283,RT @RBC: We hope to see all our Winnipeg RBC clients @WPGHomeShows on January 10 &amp; 11 for a great panel discussion and a presentation from…
1215738230089428993,Looking for tickets to see @Bryan_Baeumler at @WPGHomeShows today and tomorrow? #PTiO sponsor @RBC has you covered!… https://t.co/uQmFixgBRG
1215737382902947840,"RT @cwb_ns: Next Friday (Jan. 17), three young #HFX entrepreneurs &amp; leaders will be @MSVU_Halifax to speak with our @RBC Alliance of Young…"
1215734618244243462,"The most powerful #banks in 2019⬇️

In 🇺🇸: @Citi, @BankofAmerica, and @jpmorgan.  
In 🇨🇦:  @RBC, @BMO, and… https://t.co/NfwM7aZK29"
1215732555707756544,Are you wondering how you can boost your home value through home improvement? @RBC is hosting a panel on the… https://t.co/l989bitZG3
1215731280580616194,I have a Tuesday morning appointment with @RBC I worked hard to pay off my two credit cards last year. I hope we ca… https://t.co/9BrylNoY4H
1215729487750619137,"RT @agotoronto: #AGOAllHours is back Jan. 25. Curated by 
@OCAD's Criticism &amp; Curatorial Practice (MFA) students, get ready for a cozy camp…"
1215729294841995265,RT @RBC: Trying to eat healthy on a student budget? We've got you covered with 12 tips that will have you serving up delicious budget-frien…
1215729187539103744,"@MdNtTkr @ScottTerrioHMA @TD_Canada @RBC ...I never said they don't have sales targets....
Also, when did Fairstone… https://t.co/qXFl3VQ0d5"
1215727048242663424,@colonelparker8 @sorhay_posada @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC… https://t.co/jQ5DV9X8fm
1215726688887242758,"@failb8 @RBC @RBC even had the audacity to claim that they ""didn't have the reserve to reimburse"" the fraudulent debt....such liars!!!!!"
1215726321214656515,"As we approach our Gala, QMS would like to say THANK YOU to our Gold Sponsor, RBC Royal Bank of Canada. With their… https://t.co/fGpBWopObI"
1215726309042606080,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1215726264734101505,@sorhay_posada @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade… https://t.co/tuRSCBZORT
